date	AUS	GBR	MEX	NZL	SWE	USA
2000	7.6122	6.263	4.8564	7.47	7.4124	12.5075
2001	7.7051	6.597	5.2527	7.5789	8.0342	13.1745
2002	7.8957	6.849	5.4064	7.9004	8.3621	13.9595
2003	7.9019	7.093	5.9454	7.7219	8.4639	14.4603
2004	8.1134	7.291	6.0485	7.901	8.2614	14.5426
2005	7.9812	7.418	5.9216	8.2735	8.2774	14.5475
2006	7.9899	7.549	5.7145	8.633	8.1611	14.6639
2007	8.0633	7.633	5.8194	8.3213	8.0739	14.9042
2008	8.2669	7.865	5.744	9.1424	8.3131	15.3178
2009	8.5923	8.664	6.1756	9.6704	8.9445	16.35
2010	8.4717	8.462	6.02	9.6589	8.4864	16.3918
2011	8.5897	8.438	5.7554	9.5642	10.679	16.4139
2012	8.7435	8.496	5.9241	9.6762	10.9382	16.3771
2013	8.8356	9.923	6.0147	9.3984	11.1014	16.3678
2014	9.012	9.875	5.6895	9.3798	11.1819	16.5865
2015	9.2559	9.7533	5.794	9.4083	11.0704	16.9148
