date	Australia	Canada	Germany	Mexico	United Kingdom	United States
2000	2767.6725	3058.155	3536.3549	689.5147	2044.202	5635.34
2001	2872.3738	3219.9298	3603.768	736.5952	2204.104	5934.7847
2002	2999.5093	3369.4221	3687.3766	754.4262	2335.376	6341.6322
2003	3090.6573	3458.5634	3745.138	830.7156	2487.615	6695.7248
2004	3240.3186	3553.4721	3704.9553	870.4653	2606.135	6924.3707
2005	3242.9106	3619.4946	3787.1331	868.577	2712.273	7092.7348
2006	3323.2565	3745.9104	3875.1386	869.6953	2812.727	7269.6777
2007	3415.193	3823.2951	3950.1671	902.7412	2894.783	7449.0334
2008	3494.4375	3888.0876	4079.0901	891.0721	2945.846	7561.5873
2009	3629.7041	4168.1453	4232.5762	900.0231	3085.415	7778.6191
2010	3607.3407	4242.3395	4358.6128	911.3509	3036.12	7929.372
2011	3738.1767	4197.4339	4396.4446	895.0437	3063.044	8005.7887
2012	3831.3635	4217.7065	4516.9885	947.8146	3099.058	8103.3367
2013	3901.7343	4227.6444	4589.3728	965.7668	3673.108	8157.4229
2014	4009.8881	4203.8243	4684.4851	928.7826	3731.278	8404.4305
2015	4164.2213	4288.992	4772.328	956.2196	3755.9433	8714.8975
